Top-100 recommended products for customer 983853:
items_id 		 similarity
(8410031910568, 1.0000000000000007)
(8000300264388, 1.0)
(8410000810004, 0.9999999999999997)
(8000500227848, 0.9999999999999997)
(3760233231509, 0.5)
(3296580253418, 0.5)
(3760076652035, 0.5)
(3424090300890, 0.4472135954999579)
(3700520470013, 0.4472135954999579)
(3662122100258, 0.4472135954999579)
(3700514303990, 0.4472135954999579)
(3360100430105, 0.4472135954999579)
(4008789090089, 0.4472135954999579)
(3424090300609, 0.4082482904638631)
(3700615038029, 0.4082482904638631)
(13600022, 0.4082482904638631)
(3501940000206, 0.4082482904638631)
(3700653590657, 0.4082482904638631)
(22314084866, 0.4082482904638631)
(9782266270021, 0.4082482904638631)
(9782263157707, 0.4082482904638631)
(3230140003549, 0.4082482904638631)
(9782755638790, 0.4082482904638631)
(3415587417016, 0.408248290463863)
(3700615027337, 0.408248290463863)
(9430025, 0.35355339059327373)
(5038862338806, 0.35355339059327373)
(42306702, 0.35355339059327373)
(8000920704974, 0.35355339059327373)
(7622210370303, 0.35355339059327373)
(3760076651915, 0.35355339059327373)
(3760076651939, 0.35355339059327373)
(9782091932538, 0.3333333333333333)
(3450080, 0.3333333333333333)
(3244050001076, 0.3333333333333333)
(3430171, 0.3333333333333333)
(9420027, 0.3333333333333333)
(3424090308124, 0.3333333333333333)
(3222475415647, 0.3162277660168379)
(3256540012820, 0.3162277660168379)
(5060122034487, 0.3162277660168379)
(3168930010432, 0.3162277660168379)
(9002490239244, 0.3162277660168379)
(5000159418546, 0.30151134457776363)
(8714786258969, 0.2886751345948129)
(3450089, 0.2886751345948129)
(3501940549002, 0.2886751345948129)
(9002490236342, 0.2886751345948129)
(3103220043448, 0.2886751345948129)
(3412054, 0.2886751345948129)
(3533323020310, 0.2886751345948129)
(1086837, 0.2886751345948129)
(3760257660460, 0.2886751345948129)
(5026418087964, 0.2886751345948129)
(3760076652066, 0.2886751345948129)
(5900951273025, 0.2886751345948129)
(3415581319149, 0.2886751345948129)
(3760015550002, 0.282842712474619)
(9044400919495, 0.282842712474619)
(3450016, 0.26726124191242434)
(3430146, 0.26726124191242434)
(6430062, 0.25819888974716115)
(5010994945626, 0.2581988897471611)
(3760107840424, 0.25)
(3401041, 0.25)
(9423008, 0.25)
(8410031925593, 0.25)
(3116430208538, 0.25)
(3513760018552, 0.25)
(3175681030671, 0.25)
(4009900522120, 0.25)
(3175681014800, 0.25)
(9782067223844, 0.25)
(5413538749900, 0.25)
(38900719326, 0.25)
(3555081150573, 0.24253562503633297)
(9782290161791, 0.24253562503633297)
(3178530406825, 0.24253562503633297)
(3261415310055, 0.24253562503633297)
(9782809658460, 0.24253562503633297)
(6424289, 0.24253562503633297)
(3533323020327, 0.24253562503633297)
(9782067226722, 0.24253562503633297)
(30034099, 0.24253562503633297)
(3254651, 0.24253562503633297)
(3101740010063, 0.24253562503633297)
(3242272951056, 0.24253562503633297)
(3543114591004, 0.24253562503633297)
(3391180000049, 0.24253562503633297)
(9782067227712, 0.24253562503633297)
(3478660050081, 0.24253562503633297)
(3158841347345, 0.24253562503633297)
(3415581377149, 0.24253562503633297)
(3242611110205, 0.24253562503633297)
(5053990113668, 0.24253562503633297)
(8007315682008, 0.24253562503633297)
(3424090600280, 0.24253562503633297)
(64240053, 0.24253562503633297)
(3543114333215, 0.24253562503633297)
(9420030, 0.24253562503633297)
