Top-100 recommended products for customer 121946:
items_id 		 similarity
(3700205840773, 0.9999999999996001)
(3217770314146, 0.22940861133893634)
(3425909000482, 0.21942650138348707)
(401, 0.2171217052484637)
(404, 0.19445848585527087)
(5449000232465, 0.17076750957567163)
(5000159407236, 0.12961033102976263)
(5449000232489, 0.12562934620849578)
(3700205840643, 0.12232983360765652)
(303, 0.1212846233748963)
(3700205840629, 0.11748531554054456)
(301, 0.11379644788264649)
(5000159461122, 0.11228431212963987)
(40111216, 0.11024253624095477)
(5000159459228, 0.10602165222731785)
(12520039, 0.10583963002316639)
(3425909001007, 0.10459252370831879)
(3700205840650, 0.0993160529379901)
(3425909001021, 0.0965704000046779)
(3425909001014, 0.09599195917477543)
(1, 0.09372377787264581)
(407, 0.09046612805130849)
(3700205840636, 0.08393046783945066)
(3425909002028, 0.08224526751771565)
(3217770310711, 0.0813214728893453)
(3174780000363, 0.08016823546644275)
(3217770310704, 0.07999472027465585)
(3217770310902, 0.07884767240417008)
(3217770314160, 0.0774916783532427)
(4190175, 0.077371617415343)
(3425909001243, 0.0770662465929023)
(3425909001236, 0.07669582578246)
(3217770310735, 0.07663380541183064)
(3425909001182, 0.07635405219448346)
(18064205, 0.07588306042291056)
(3367651003307, 0.07541296075429213)
(3367651001891, 0.07532442626373297)
(302, 0.07390777883210159)
(2, 0.07219396030719946)
(3425901028170, 0.07197154343346739)
(9002490210717, 0.07126829113738163)
(451, 0.06765658192784763)
(3103220009079, 0.06739437798462049)
(306, 0.06692836474278123)
(3017760756198, 0.0661616949664357)
(3057640117008, 0.06603386315226793)
(5000112609653, 0.0651200450544252)
(40052397, 0.06503113864144583)
(3103220009130, 0.06490045624340504)
(3425909002011, 0.06430016453519644)
(3274080005003, 0.06376212593735513)
(5449000214911, 0.06233664395042035)
(12520046, 0.06191196863027677)
(3217770314191, 0.061823134799052167)
(12520053, 0.05893887117816891)
(3217770310919, 0.05828836535686701)
(3068320111612, 0.05683839346926501)
(7622210601988, 0.05589294452401446)
(3425901018140, 0.055350980480071775)
(3217770310759, 0.05408266585107843)
(5449000131836, 0.053316824729966995)
(3700205840766, 0.052523303381333195)
(9002490205973, 0.05233437641987923)
(3268840001008, 0.05231366518737557)
(13600075, 0.0520878722402557)
(3217770310742, 0.05205200554103627)
(3700205840780, 0.05037517759994048)
(408, 0.05031984360920894)
(3425909001069, 0.04981306344318303)
(3425909001083, 0.047373345266823554)
(3425909001076, 0.04701225305384953)
(12520268, 0.0469224957652611)
(3700205840797, 0.046439995260380056)
(3068320099651, 0.04548115203860578)
(3217770314177, 0.04541170927334637)
(3103220009062, 0.04442442627549861)
(45855993, 0.04388730529494424)
(3367651000825, 0.043238270931996406)
(3242272861058, 0.04316388169149519)
(3217770310025, 0.04282366843294069)
(3168930000020, 0.04249867796833991)
(3217770310162, 0.04168126410474996)
(3068320014067, 0.04135695110662306)
(3425909001229, 0.04074187947522635)
(3242272856559, 0.0405080276047688)
(3217770314153, 0.039936751848771865)
(3068320040103, 0.039153022200926035)
(3367651001884, 0.03903865026777089)
(7445935, 0.03898376097430308)
(3217770310117, 0.03881058120804589)
(8002270015328, 0.03849455043244036)
(8002270014901, 0.03794152106132073)
(3168930000105, 0.03680906178006449)
(3367651000061, 0.03671486684496629)
(3425909000536, 0.036628578670562614)
(3124480167026, 0.03651011002312298)
(3425909001205, 0.03612297894604508)
(3242272845256, 0.03526282779134612)
(3217770310100, 0.035192626871031266)
(3228886043714, 0.03499525915339763)
