Top-100 recommended products for customer 609134:
items_id 		 similarity
(3217770314146, 1.0000000000006255)
(3425909000482, 0.2856052473191766)
(401, 0.2671986572376785)
(404, 0.23229667019853978)
(5449000232465, 0.18953314251984535)
(5449000232489, 0.14962229448635875)
(5000159407236, 0.14451502172731429)
(3700205840797, 0.13929750681041034)
(3700205840759, 0.1331439557238765)
(12520039, 0.13062937004726033)
(303, 0.13003952143657768)
(3700205840773, 0.1292405401262678)
(3700205840766, 0.12799339762248876)
(301, 0.12583841700861942)
(5000159461122, 0.12292995362245625)
(3425909001007, 0.1222697487471309)
(3700205840780, 0.12130297205660963)
(5000159459228, 0.11543747440112631)
(3425909001021, 0.11290994559564299)
(40111216, 0.1118457335219763)
(3425909001014, 0.11124390519461125)
(3700205840643, 0.10920769353242467)
(3700205840629, 0.10836389801687667)
(3700205840650, 0.096236701493506)
(3700205840636, 0.09288082572252747)
(3174780000363, 0.0907530943154199)
(3217770310902, 0.08472906471733511)
(3217770310711, 0.08257843273474356)
(3217770310735, 0.08060051364181452)
(7622210601988, 0.0795032138319748)
(306, 0.0748071585324968)
(5449000214911, 0.06849267420094853)
(1, 0.06690503551799751)
(451, 0.06654252670358297)
(3217770314191, 0.0662241371426391)
(3425909002011, 0.06586689415397824)
(6026, 0.06393862216802829)
(12520053, 0.06228357470269079)
(12520046, 0.06065858830092587)
(3103220009062, 0.06053710598259964)
(12520268, 0.05805229869618531)
(5449000131836, 0.057530462345523496)
(3425901018140, 0.05709915445166002)
(408, 0.0559983495779638)
(407, 0.055619943160415034)
(3217770310759, 0.055298638322011075)
(9002490205973, 0.05496504388989775)
(3217770310919, 0.05492734513532443)
(2, 0.052985062695919335)
(502, 0.0529500762055451)
(3, 0.05234276478936992)
(3274080005003, 0.05195159296907385)
(7892095, 0.05129186081853219)
(3425909002028, 0.05035110551845324)
(3217770310742, 0.049574735679734604)
(5401047, 0.048522851615560185)
(3425909001069, 0.04841137723761108)
(3242272861058, 0.04811984072468976)
(3425909001243, 0.04767016909376496)
(4, 0.04749353630186627)
(3068320099651, 0.04739910237765828)
(3425909001083, 0.046962915773452)
(3068320111612, 0.046809396568260594)
(50000000005008, 0.04655323966346571)
(7476355, 0.04622541314265061)
(9002490210717, 0.046152615020753796)
(45855993, 0.04565150666335092)
(3425909001229, 0.04453652132768955)
(3217770314177, 0.043999989412693605)
(13600075, 0.04358029485959711)
(3425909001076, 0.04314722385047165)
(3217770310162, 0.04161878276172852)
(19419902, 0.04151449832957907)
(3425909001205, 0.04132116882559358)
(3217770314153, 0.04072331728891319)
(3268840001008, 0.040450925052578975)
(3217770310117, 0.040340853202447555)
(3217770310025, 0.03839879766026057)
(3068320040103, 0.038175880293125505)
(3425909001212, 0.03798689965707235)
(7445935, 0.03692570601738071)
(3168930000020, 0.03685423906613479)
(3217770310100, 0.03684098688955147)
(3425909000109, 0.036808948896281335)
(3011449301877, 0.036498319839249185)
(9999, 0.035983805227079925)
(4190175, 0.03538876404451818)
(3425909000536, 0.0353639745027844)
(5000159419376, 0.03423296428460327)
(5000159482172, 0.03396258991704776)
(3068320014067, 0.0334606190138708)
(5449000054227, 0.03268099997971904)
(104, 0.03263023683599146)
(5449000214799, 0.032519000389456265)
(3425909001182, 0.03228546448848505)
(3217770310179, 0.03196101577095472)
(3103220009079, 0.03168856970631985)
(3425909001236, 0.03148379071826308)
(3217770310810, 0.031050228351599193)
(45178145, 0.030695924446861613)
