Top-100 recommended products for customer 752844:
items_id 		 similarity
(5000112609653, 1.0000000000000235)
(42099017, 1.0000000000000036)
(4008400390529, 0.999999999999997)
(3367651004885, 0.9999999999999847)
(303, 0.2316706591682414)
(301, 0.18831255491159668)
(54492653, 0.18421090374185076)
(18064205, 0.17768746350664977)
(583279, 0.1774005535287305)
(3425909001007, 0.17322270641689705)
(1073439, 0.17050460519158608)
(3449860429342, 0.16806977481083324)
(6157591, 0.1584608961805098)
(3430026, 0.1526744556603505)
(5000112631029, 0.15220984363293133)
(3461003, 0.14762034939153681)
(3461039, 0.14737457629870226)
(3425909001021, 0.14627674904763904)
(3450013, 0.14496310167576257)
(3466250015015, 0.1438222551921846)
(3461023, 0.13824918015052065)
(22131296, 0.1366629141823327)
(3425909001014, 0.13357675272395864)
(4190175, 0.13317357168940042)
(3450011, 0.13060159252884646)
(3461025, 0.13008940098311428)
(3449854093009, 0.12775143777265788)
(5449000054227, 0.12716876633332772)
(3430176, 0.12561705772469717)
(3178530408744, 0.12531675303003603)
(2850269, 0.12352449195912153)
(3450026, 0.12289543556227533)
(7420005, 0.12181351994544676)
(3412023, 0.12166828317916721)
(3116740021971, 0.12133043390516213)
(5000112611748, 0.11987085314337849)
(3450014, 0.11909402669959385)
(3103220037218, 0.11845049209857138)
(45178145, 0.11731675759820241)
(3450042, 0.11680232775892095)
(451, 0.11656694657484448)
(3461020, 0.1148158273045286)
(37495862, 0.11404847510476114)
(7622210717801, 0.11210371336639652)
(19419902, 0.11179987656511418)
(7231117, 0.11133271397059337)
(3103220009260, 0.10961398542574652)
(7430004, 0.10942030215030746)
(3252755350009, 0.10935659603334445)
(3124480183828, 0.10933362808639373)
(3472860004011, 0.10918367549541812)
(8000500085455, 0.1087070691848341)
(3430182, 0.10856555458125358)
(8000500203873, 0.10780182679063198)
(3667191, 0.10630877571057433)
(80310839, 0.10620156485907647)
(7445935, 0.10564827890059375)
(3430051, 0.10525643637328598)
(3461029, 0.1033513288503889)
(1086837, 0.10293427583132689)
(3178530409734, 0.10274289921697508)
(54492790, 0.10273908387389771)
(3461006, 0.10221038527937204)
(3450131, 0.10204689722778948)
(3450101, 0.10145993123917849)
(3450010, 0.10127254643904941)
(37043963, 0.10106724079645264)
(3103220009079, 0.10011444066274675)
(3430130, 0.10009802020089378)
(3461024, 0.09990975370427572)
(3461009, 0.09983922038514889)
(3449850418158, 0.09916549490567196)
(3461030, 0.09912414275411358)
(3660140823951, 0.09895770171194662)
(3367651000191, 0.09876872734660096)
(2599062, 0.09834191458333424)
(3242274500054, 0.0980682047606677)
(408, 0.09756091931211351)
(3430171, 0.09723055853282467)
(3700009252574, 0.0962299541807677)
(3466250015237, 0.09617519277149734)
(3430053, 0.09566892062149217)
(3103220009222, 0.09544772606659142)
(3449865267482, 0.09514809156650113)
(3281780091250, 0.09504273483701649)
(7613032649647, 0.09437860526067177)
(3450037, 0.09421279329352288)
(3217770310902, 0.09414618936470515)
(8000500227848, 0.09407454994202814)
(3700205840797, 0.09373274305143559)
(3430157, 0.09323021558836357)
(1128582, 0.09319301526144998)
(21453447, 0.09290970605169192)
(3451004, 0.09265023972276051)
(5000159461313, 0.09244750740250153)
(116328, 0.0923310358306596)
(3242274505059, 0.09226190476190482)
(3367651004892, 0.0919277119553844)
(3700205840766, 0.09131081510702245)
(7430001, 0.09082389505034187)
